STII,AGENCY,Science and Technology Information Institute,DOST,ES,Economic Services
TAPI,AGENCY,Technology Application and Promotion Institute,DOST,ES,Economic Services
PCAST,AGENCY,Philippine Council for Advanced Science and Technology Research and Development,DOST,ES,Economic Services
PCIERD,AGENCY,Philippine Council for Industry and Energy Research and Development,DOST,ES,Economic Services
OSEC-DSWD,AGENCY,Office of the Secretary,DSWD,SS,Social Services
CWCY,AGENCY,Council for the Welfare of Children,DSWD,SS,Social Services
ICAB,AGENCY,Inter-Country Adoption Board,DSWD,SS,Social Services
NCWDP,AGENCY,National Council on Disability Affairs,DSWD,SS,Social Services
NYC-DSWD,AGENCY,National Youth Commission,DSWD,SS,Social Services
OSEC-DOT,AGENCY,Office of the Secretary,DOT,ES,Economic Services
IA,AGENCY,Intramuros Administration,DOT,ES,Economic Services
NPDC,AGENCY,National Parks Development Committee,DOT,ES,Economic Services
OSEC-DTI,AGENCY,Office of the Secretary,DTI,ES,Economic Services
BOI,AGENCY,Board of Investments,DTI,ES,Economic Services
CIAP,AGENCY,Construction Industry Authority of the Philippines,DTI,ES,Economic Services
CMDF,AGENCY,Construction Manpower Development Foundation,DTI,ES,Economic Services
PTTC,AGENCY,Philippine Trade Training Center,DTI,ES,Economic Services
PDDCP,AGENCY,Design Center of the Philippines,DTI,ES,Economic Services
OSEC-DOTC,AGENCY,Office of the Secretary,DOTC,ES,Economic Services
CAB,AGENCY,Civil Aeronautics Board,DOTC,ES,Economic Services
MARINA,AGENCY,Maritime Industry Authority,DOTC,ES,Economic Services
OTC,AGENCY,Office of Transportation Cooperatives,DOTC,ES,Economic Services
OTS,AGENCY,Office for Transportation Security,DOTC,ES,Economic Services
PCG,AGENCY,Philippine Coast Guard,DOTC,ES,Economic Services
TRB-DOTC,AGENCY,Toll Regulatory Board,DOTC,ES,Economic Services
ODG,AGENCY,Office of the Director-General,NEDA,GPS,General Public Services
NSCB,AGENCY,National Statistical Coordination Board,NEDA,GPS,General Public Services
NSO,AGENCY,National Statistics Office,NEDA,GPS,General Public Services
PNVSCA,AGENCY,Philippine National Volunteer Service Coordinating Agency,NEDA,GPS,General Public Services
PPPCP,AGENCY,Public-Private Partnership Center of the Philippines,NEDA,GPS,General Public Services
SRTC,AGENCY,Statistical Research and Training Center,NEDA,GPS,General Public Services
TARIFF,AGENCY,Tariff Commission,NEDA,GPS,General Public Services
PROP,AGENCY,Presidential Communications Operations Office (Proper),OPS,GPS,General Public Services
BBS,AGENCY,Bureau of Broadcast Services,OPS,GPS,General Public Services
BCS,AGENCY,Bureau of Communications Services,OPS,GPS,General Public Services
NPO,AGENCY,National Printing Office,OPS,GPS,General Public Services
NIB,AGENCY,News and Information Bureau,OPS,GPS,General Public Services
PIA,AGENCY,Philippine Information Agency,OPS,GPS,General Public Services
PBS-RTVM,AGENCY,Presidential Broadcast Staff (RTVM),OPS,GPS,General Public Services
AMLC,AGENCY,Anti-Money Laundering Council,OEO,GPS,General Public Services
NCCC,AGENCY,Climate Change Commission,OEO
CFO-OEO,AGENCY,Commission on Filipinos Overseas,OEO,SS,Social Services
CHED,AGENCY,Commission on Higher Education,OEO,SS,Social Services
CDA,AGENCY,Cooperative Development Authority,OEO
CFL-OEO,AGENCY,Commission on the Filipino Language,OEO,SS,Social Services
DDB-OEO,AGENCY,Dangerous Drugs Board,OEO,SS,Social Services
ERC,AGENCY,Energy Regulatory Commission,OEO,ES,Economic Services
FDCP,AGENCY,Film Development Council of the Philippines,OEO,SS,Social Services
GAAB,AGENCY,Games and Amusements Board,OEO,GPS,General Public Services
GCG,AGENCY,Governance Commission for Government-Owned and Controlled Corporations,OEO,GPS,General Public Services
HLURB,AGENCY,Housing and Land Use Regulatory Board,OEO,SS,Social Services
HUDCC,AGENCY,Housing and Urban Development Coordinating Council,OEO,SS,Social Services
MDA,AGENCY,Mindanao Development Authority,OEO,GPS,General Public Services
MTRCB,AGENCY,Movie and Television Review and Classification Board,OEO,GPS,General Public Services
NAPC,AGENCY,National Anti-Poverty Commission,OEO,SS,Social Services
NCCA-PROPER,SUBAGENCY,National Commission for Culture and the Arts (Proper),OEO,SS,Social Services
NHI-NCCA,SUBAGENCY,National Historical Commission of the Philippines (National Historical Institute),OEO,SS,Social Services
NL-NCCA,SUBAGENCY,National Library of the Philippines,OEO,SS,Social Services
RMAO-NCCA,SUBAGENCY,National Archives of the Philippines (formerly Records Management and Archives Office),OEO,SS,Social Services
NCIP,AGENCY,National Commission on Indigenous Peoples,OEO,SS,Social Services
OMA,AGENCY,National Commission on Muslim Filipinos (Office on Muslim Affairs),OEO,SS,Social Services
NICA,AGENCY,National Intelligence Coordinating Agency,OEO,GPS,General Public Services
NSC,AGENCY,National Security Council,OEO,GPS,General Public Services
NTC-OEO,AGENCY,National Telecommunications Commission,OEO,ES,Economic Services
OPAPP,AGENCY,Office of the Presidential Adviser on the Peace Process,OEO,GPS,General Public Services
VRB,AGENCY,Optical Media Board,OEO,GPS,General Public Services
PRRC,AGENCY,Pasig River Rehabilitation Commission,OEO
NCRFW,AGENCY,Philippine Commission on Women (National Commission on the Role of Filipino Women),OEO,SS,Social Services
PDEA,AGENCY,Philippine Drug Enforcement Agency,OEO
PRACOM,AGENCY,Philippine Racing Commission,OEO,GPS,General Public Services
PSCOM,AGENCY,Philippine Sports Commission,OEO,SS,Social Services
PCUP,AGENCY,Presidential Commission for the Urban Poor,OEO,SS,Social Services
PCDSPO,AGENCY,Presidential Communications Development and Strategic Planning Office,OEO,GPS,General Public Services
PLLO,AGENCY,Presidential Legislative Liaison Office,OEO,GPS,General Public Services
PMS,AGENCY,Presidential Management Staff,OEO,GPS,General Public Services
ARMM,AGENCY,Autonomous Regional Government in Muslim Mindanao,AR,GPS,General Public Services
LEDAC,AGENCY,Legislative-Executive Development Advisory Council,JLEC
SCPLC,AGENCY,Supreme Court of the Philippines and the Lower Courts,JUD,GPS,General Public Services
PET,SUBAGENCY,Presidential Electoral Tribunal,JUD,GPS,General Public Services
SB,AGENCY,Sandiganbayan,JUD,GPS,General Public Services
CAP,AGENCY,Court of Appeals,JUD,GPS,General Public Services
CTA,AGENCY,Court of Tax Appeals,JUD,GPS,General Public Services
CSCOM,AGENCY,Civil Service Commission,CSC,GPS,General Public Services
CESB,SUBAGENCY,Career Executive Service Board,CSC,GPS,General Public Services
COA,DEPARTMENT,Commission on Audit,COA,GPS,General Public Services
COMELEC,DEPARTMENT,Commission on Elections,COMELEC,GPS,General Public Services
OMB,DEPARTMENT,Office of the Ombudsman,OMB,GPS,General Public Services
CHR,DEPARTMENT,Commission on Human Rights,CHR,SS,Social Services
NDA,SUBSPF,National Dairy Authority,BSGC,ES,Economic Services
NFA,SUBSPF,National Food Authority,BSGC,ES,Economic Services
NIA,SUBSPF,National Irrigation Administration,BSGC,ES,Economic Services
NTA,SUBSPF,National Tobacco Administration,BSGC,ES,Economic Services
PCOA,SUBSPF,Philippine Coconut Authority,BSGC,ES,Economic Services
PCIC-DA,SUBSPF,Philippine Crop Insurance Corporation,BSGC,ES,Economic Services
PRRI,SUBSPF,Philippine Rice Research Institute,BSGC,ES,Economic Services
QUEDAN,SUBSPF,Quedan and Rural Credit Guarantee Corporation,BSGC,ES,Economic Services
SRA,SUBSPF,Sugar Regulatory Administration,BSGC
NEA,SUBSPF,National Electrification Administration,BSGC,ES,Economic Services
NPC,SUBSPF,National Power Corporation,BSGC,ES,Economic Services
PCIC,SUBSPF,Philippine Crop Insurance Corporation,BSGC
PDIC,SUBSPF,Philippine Deposit Insurance Corporation,BSGC,GPS,General Public Services
LCP,SUBSPF,Lung Center of the Philippines,BSGC,SS,Social Services
NKTI,SUBSPF,National Kidney and Transplant Institute,BSGC,SS,Social Services
PCMC,SUBSPF,Philippine Children`s Medical Center,BSGC,SS,Social Services
PHC,SUBSPF,Philippine Heart Center,BSGC,SS,Social Services
PITAHC,SUBSPF,Philippine Institute of Traditional and Alternative Health Care,BSGC,SS,Social Services
LWUA,SUBSPF,Local Water Utilities Administration,BSGC,SS,Social Services
TPB,SUBSPF,Tourism Promotions Board,BSGC,ES,Economic Services
PCVC,SUBSPF,Philippine Convention and Visitors Corporation,BSGC,ES,Economic Services
ASEZA,SUBSPF,Aurora Pacific Economic Zone and Freeport Authority,BSGC,ES,Economic Services
CITEM,SUBSPF,Center for International Trade Expositions and Missions,BSGC,ES,Economic Services
CITC,SUBSPF,Cottage Industry Technology Center,BSGC,ES,Economic Services
PNR,SUBSPF,Philippine National Railways,BSGC,ES,Economic Services
PIDS,SUBSPF,Philippine Institute for Development Studies,BSGC,GPS,General Public Services
AFAB,SUBSPF,Authority of the Freeport Area of Bataan,BSGC,ES,Economic Services
CEZA,SUBSPF,Cagayan Economic Zone Authority,BSGC,ES,Economic Services
CIC,SUBSPF,Credit Information Corporation,BSGC,ES,Economic Services
CCP,SUBSPF,Cultural Center of the Philippines,BSGC,ES,Economic Services
DAP,SUBSPF,Development Academy of the Philippines,BSGC,ES,Economic Services
HIGC,SUBSPF,Home Guaranty Corporation,BSGC,SS,Social Services
NHMFC,SUBSPF,National Home Mortgage Finance Corporation,BSGC,SS,Social Services
NHA,SUBSPF,National Housing Authority,BSGC,SS,Social Services
PCED,SUBSPF,Philippine Center for Economic Development,BSGC,ES,Economic Services
PPC,SUBSPF,Philippine Postal Corporation,BSGC,ES,Economic Services
SPDA,SUBSPF,Southern Philippines Development Authority,BSGC,ES,Economic Services
ZCSEZA,SUBSPF,Zamboanga City Special Economic Zone Authority,BSGC,ES,Economic Services
PCFC,SUBSPF,People's Credit and Finance Corporation,BSGC
SBSGC,SUBSPF,Budgetary Support to Government Corporations - Others,BSGC
NET,SUBSPF,Net Lending,BSGC,L,Lending
IRA,SUBSPF,Internal Revenue Allotment,ALGU
PNT,SUBSPF,Special Shares of Local Government Units in the Proceeds of National Taxes,ALGU,ES,Economic Services
BODBF,SUBSPF,Barangay Officials Death Benefits Fund,ALGU,GPS,General Public Services
S_MMDA,SUBSPF,Metropolitan Manila Development Authority,ALGU,GPS,General Public Services
NHIP,SUBSPF,Premium Subsidy for Indigents under the National Health Insurance Program,ALGU
KSB,SUBSPF,Kalayaan Barangay Program Fund,ALGU
KILOS,SUBSPF,Kilos Asenso Support Fund,ALGU
MDF,SUBSPF,Municipal Development Fund,ALGU
